,City,Date,Card Type,Exp Type,Gender,Amount,Year,Month
1265,"Delhi, India",2014-12-11,Gold,Food,Female,286058,2014,12
1266,"Bengaluru, India",2014-10-23,Silver,Food,Female,125742,2014,10
1267,"Ahmedabad, India",2015-05-03,Gold,Food,Female,144933,2015,5
1268,"Greater Mumbai, India",2014-04-23,Silver,Food,Female,220697,2014,4
1269,"Greater Mumbai, India",2013-11-20,Gold,Food,Female,175594,2013,11
1270,"Bengaluru, India",2014-07-01,Silver,Food,Female,265778,2014,7
1271,"Delhi, India",2014-01-28,Gold,Food,Female,55810,2014,1
1272,"Bengaluru, India",2014-08-16,Platinum,Food,Female,206203,2014,8
1273,"Greater Mumbai, India",2015-03-04,Silver,Food,Female,7060,2015,3
1274,"Greater Mumbai, India",2014-02-15,Gold,Food,Female,7860,2014,2
1275,"Ahmedabad, India",2014-06-28,Platinum,Food,Female,19231,2014,6
1276,"Delhi, India",2014-07-25,Signature,Food,Female,42009,2014,7
1277,"Greater Mumbai, India",2014-11-15,Platinum,Food,Female,279971,2014,11
1278,"Ahmedabad, India",2014-08-15,Silver,Food,Female,285069,2014,8
1279,"Greater Mumbai, India",2015-03-14,Gold,Food,Female,139691,2015,3
1280,"Delhi, India",2014-09-13,Signature,Food,Female,292802,2014,9
1281,"Ahmedabad, India",2014-07-07,Gold,Food,Female,227178,2014,7
1282,"Ahmedabad, India",2014-07-15,Platinum,Food,Female,286253,2014,7
1283,"Delhi, India",2015-05-10,Gold,Food,Female,62580,2015,5
1284,"Ahmedabad, India",2015-03-02,Gold,Food,Female,49377,2015,3
1285,"Delhi, India",2015-03-21,Gold,Food,Female,31209,2015,3
1286,"Delhi, India",2015-02-07,Platinum,Food,Female,216621,2015,2
1287,"Bengaluru, India",2015-02-15,Silver,Food,Female,176319,2015,2
1288,"Ahmedabad, India",2014-04-04,Platinum,Food,Female,138319,2014,4
1289,"Greater Mumbai, India",2013-11-15,Gold,Food,Female,237899,2013,11
1290,"Delhi, India",2013-11-06,Gold,Food,Female,24675,2013,11
1291,"Greater Mumbai, India",2015-01-03,Silver,Food,Female,286519,2015,1
1292,"Greater Mumbai, India",2014-10-17,Platinum,Food,Female,184863,2014,10
1293,"Bengaluru, India",2014-04-06,Platinum,Food,Female,179158,2014,4
1294,"Greater Mumbai, India",2013-10-30,Silver,Food,Female,274080,2013,10
1295,"Greater Mumbai, India",2013-12-02,Platinum,Food,Female,289492,2013,12
1296,"Bengaluru, India",2014-02-10,Silver,Food,Female,114172,2014,2
1297,"Bengaluru, India",2015-03-27,Silver,Food,Female,254719,2015,3
1298,"Delhi, India",2014-11-29,Platinum,Food,Female,221174,2014,11
1299,"Bengaluru, India",2013-12-03,Gold,Food,Female,200916,2013,12
1300,"Ahmedabad, India",2015-01-27,Gold,Food,Female,88226,2015,1
1301,"Bengaluru, India",2014-10-13,Gold,Food,Female,116536,2014,10
1302,"Ahmedabad, India",2014-07-21,Gold,Food,Female,162099,2014,7
1303,"Ahmedabad, India",2014-03-03,Platinum,Food,Female,126889,2014,3
1304,"Ahmedabad, India",2014-08-26,Silver,Food,Female,23769,2014,8
1305,"Greater Mumbai, India",2014-10-20,Gold,Food,Female,291384,2014,10
1306,"Delhi, India",2015-05-03,Platinum,Food,Female,94759,2015,5
1307,"Bengaluru, India",2014-06-10,Gold,Food,Female,167780,2014,6
1308,"Ahmedabad, India",2015-02-18,Gold,Food,Female,73935,2015,2
1309,"Delhi, India",2013-11-06,Signature,Food,Female,34676,2013,11
1310,"Delhi, India",2015-04-23,Platinum,Food,Female,28127,2015,4
1311,"Greater Mumbai, India",2014-02-22,Silver,Food,Female,299699,2014,2
1312,"Delhi, India",2014-06-27,Platinum,Food,Female,202490,2014,6
1313,"Delhi, India",2013-12-27,Signature,Food,Female,282542,2013,12
1314,"Ahmedabad, India",2014-11-03,Gold,Food,Female,284069,2014,11
1315,"Bengaluru, India",2014-06-18,Silver,Food,Female,162527,2014,6
1316,"Delhi, India",2014-02-28,Silver,Food,Female,234921,2014,2
1317,"Greater Mumbai, India",2014-06-29,Silver,Food,Female,143923,2014,6
1318,"Ahmedabad, India",2014-02-13,Silver,Food,Female,37496,2014,2
1319,"Greater Mumbai, India",2014-02-12,Platinum,Food,Female,233639,2014,2
1320,"Delhi, India",2015-03-20,Silver,Food,Female,1709,2015,3
1321,"Bengaluru, India",2014-03-30,Platinum,Food,Female,116996,2014,3
1322,"Delhi, India",2014-09-28,Signature,Food,Female,280310,2014,9
1323,"Greater Mumbai, India",2014-05-30,Silver,Food,Female,202192,2014,5
1324,"Bengaluru, India",2014-03-06,Gold,Food,Female,75042,2014,3
1325,"Greater Mumbai, India",2014-10-24,Silver,Food,Female,107999,2014,10
1326,"Bengaluru, India",2014-03-04,Signature,Food,Female,74297,2014,3
1327,"Bengaluru, India",2013-12-10,Signature,Food,Female,187609,2013,12
1328,"Ahmedabad, India",2014-10-24,Platinum,Food,Female,206434,2014,10
1329,"Bengaluru, India",2015-01-12,Gold,Food,Female,268746,2015,1
1330,"Delhi, India",2014-03-18,Silver,Food,Female,16659,2014,3
1331,"Bengaluru, India",2014-12-06,Silver,Food,Female,106206,2014,12
1332,"Ahmedabad, India",2014-07-25,Silver,Food,Female,214753,2014,7
1333,"Bengaluru, India",2014-01-07,Platinum,Food,Female,155846,2014,1
1334,"Delhi, India",2014-07-16,Gold,Food,Female,183232,2014,7
1335,"Delhi, India",2015-03-24,Silver,Food,Female,34071,2015,3
1336,"Bengaluru, India",2014-10-29,Signature,Food,Female,157364,2014,10
1337,"Bengaluru, India",2014-01-19,Silver,Food,Female,4590,2014,1
1338,"Greater Mumbai, India",2015-01-27,Gold,Food,Female,39399,2015,1
1339,"Delhi, India",2014-03-28,Platinum,Food,Female,65563,2014,3
1340,"Bengaluru, India",2014-08-24,Silver,Food,Female,124929,2014,8
1341,"Greater Mumbai, India",2015-04-21,Signature,Food,Female,120368,2015,4
1342,"Delhi, India",2015-05-12,Gold,Food,Female,17328,2015,5
1343,"Delhi, India",2014-11-17,Signature,Food,Female,160848,2014,11
1344,"Bengaluru, India",2014-05-18,Silver,Food,Female,203193,2014,5
1345,"Delhi, India",2014-05-26,Silver,Food,Female,285839,2014,5
1346,"Bengaluru, India",2014-09-17,Silver,Food,Female,167379,2014,9
1347,"Greater Mumbai, India",2013-12-12,Silver,Food,Female,198603,2013,12
1348,"Bengaluru, India",2015-01-16,Platinum,Food,Female,233680,2015,1
1349,"Bengaluru, India",2014-03-11,Gold,Food,Female,263367,2014,3
1350,"Ahmedabad, India",2013-11-12,Gold,Food,Female,8498,2013,11
1351,"Ahmedabad, India",2015-03-11,Platinum,Food,Female,163305,2015,3
1352,"Bengaluru, India",2014-04-12,Silver,Food,Female,216694,2014,4
1353,"Greater Mumbai, India",2014-02-15,Silver,Food,Female,84646,2014,2
1354,"Bengaluru, India",2013-10-24,Silver,Food,Female,107100,2013,10
1355,"Greater Mumbai, India",2015-03-13,Platinum,Food,Female,175368,2015,3
1356,"Delhi, India",2015-02-20,Platinum,Food,Female,141057,2015,2
1357,"Greater Mumbai, India",2014-03-09,Platinum,Food,Female,264153,2014,3
1358,"Delhi, India",2014-09-11,Silver,Food,Female,230149,2014,9
1359,"Bengaluru, India",2015-05-02,Signature,Food,Female,224398,2015,5
1360,"Bengaluru, India",2014-02-06,Gold,Food,Female,221042,2014,2
1361,"Bengaluru, India",2015-02-27,Signature,Food,Female,285102,2015,2
1362,"Bengaluru, India",2013-11-04,Gold,Food,Female,225377,2013,11
1363,"Greater Mumbai, India",2014-03-04,Platinum,Food,Female,205814,2014,3
1364,"Greater Mumbai, India",2013-11-02,Gold,Food,Female,104262,2013,11
1365,"Delhi, India",2014-06-02,Silver,Food,Female,216314,2014,6
1366,"Greater Mumbai, India",2015-03-01,Platinum,Food,Female,231007,2015,3
1367,"Bengaluru, India",2014-06-16,Platinum,Food,Female,25156,2014,6
1368,"Bengaluru, India",2014-10-31,Signature,Food,Female,108720,2014,10
1369,"Bengaluru, India",2014-07-29,Gold,Food,Female,211772,2014,7
1370,"Delhi, India",2014-07-13,Gold,Food,Female,22909,2014,7
1371,"Greater Mumbai, India",2014-12-24,Signature,Food,Female,10720,2014,12
1372,"Greater Mumbai, India",2015-05-05,Gold,Food,Female,291730,2015,5
1373,"Greater Mumbai, India",2014-10-29,Signature,Food,Female,197919,2014,10
1374,"Greater Mumbai, India",2014-12-20,Signature,Food,Female,106666,2014,12
1375,"Ahmedabad, India",2014-09-13,Silver,Food,Female,94924,2014,9
1376,"Ahmedabad, India",2015-04-09,Silver,Food,Female,122939,2015,4
1377,"Delhi, India",2014-12-27,Silver,Food,Female,188366,2014,12
1378,"Bengaluru, India",2013-10-18,Signature,Food,Female,142140,2013,10
1379,"Greater Mumbai, India",2014-10-29,Platinum,Food,Female,261122,2014,10
1380,"Ahmedabad, India",2014-09-08,Silver,Food,Female,214821,2014,9
1381,"Greater Mumbai, India",2014-12-07,Gold,Food,Female,249091,2014,12
1382,"Bengaluru, India",2014-09-09,Signature,Food,Female,162893,2014,9
1383,"Bengaluru, India",2014-03-29,Gold,Food,Female,200847,2014,3
1384,"Ahmedabad, India",2014-06-20,Silver,Food,Female,54482,2014,6
1385,"Greater Mumbai, India",2014-03-08,Silver,Food,Female,105710,2014,3
1386,"Ahmedabad, India",2014-08-27,Silver,Food,Female,101429,2014,8
1387,"Delhi, India",2014-08-21,Silver,Food,Female,95456,2014,8
1388,"Delhi, India",2014-09-05,Platinum,Food,Female,26231,2014,9
1389,"Bengaluru, India",2013-12-19,Silver,Food,Female,81511,2013,12
1390,"Bengaluru, India",2015-04-06,Signature,Food,Female,253357,2015,4
1391,"Ahmedabad, India",2015-05-21,Silver,Food,Female,97311,2015,5
1392,"Delhi, India",2014-10-27,Signature,Food,Female,277422,2014,10
1393,"Ahmedabad, India",2015-03-26,Platinum,Food,Female,121871,2015,3
1394,"Delhi, India",2014-06-14,Signature,Food,Female,24245,2014,6
1395,"Greater Mumbai, India",2015-02-19,Platinum,Food,Female,186838,2015,2
1396,"Delhi, India",2014-02-24,Gold,Food,Female,85288,2014,2
1397,"Delhi, India",2013-12-12,Gold,Food,Female,225076,2013,12
1398,"Bengaluru, India",2013-10-25,Signature,Food,Female,225578,2013,10
1399,"Bengaluru, India",2014-03-24,Signature,Food,Female,232430,2014,3
1400,"Delhi, India",2014-02-18,Signature,Food,Female,243863,2014,2
1401,"Greater Mumbai, India",2015-02-26,Platinum,Food,Female,5706,2015,2
1402,"Delhi, India",2014-07-07,Silver,Food,Female,298981,2014,7
1403,"Ahmedabad, India",2013-12-11,Gold,Food,Female,137916,2013,12
1404,"Ahmedabad, India",2014-09-04,Platinum,Food,Female,14319,2014,9
1405,"Delhi, India",2014-02-18,Platinum,Food,Female,257498,2014,2
1406,"Greater Mumbai, India",2014-05-12,Platinum,Food,Female,292219,2014,5
1407,"Bengaluru, India",2014-11-11,Silver,Food,Female,210738,2014,11
1408,"Delhi, India",2014-08-23,Signature,Food,Female,63778,2014,8
1409,"Delhi, India",2014-09-26,Gold,Food,Female,29148,2014,9
1410,"Ahmedabad, India",2014-07-03,Signature,Food,Female,224634,2014,7
1411,"Bengaluru, India",2014-04-13,Gold,Food,Female,77425,2014,4
1412,"Bengaluru, India",2014-12-15,Gold,Food,Female,196777,2014,12
1413,"Greater Mumbai, India",2015-03-06,Signature,Food,Female,155694,2015,3
1414,"Delhi, India",2014-12-02,Signature,Food,Female,30417,2014,12
1415,"Ahmedabad, India",2014-03-22,Platinum,Food,Female,232618,2014,3
1416,"Greater Mumbai, India",2013-11-26,Gold,Food,Female,6645,2013,11
1417,"Greater Mumbai, India",2014-10-01,Platinum,Food,Female,5545,2014,10
1418,"Greater Mumbai, India",2015-05-11,Silver,Food,Female,40135,2015,5
1419,"Ahmedabad, India",2014-09-23,Platinum,Food,Female,99325,2014,9
1420,"Bengaluru, India",2014-01-15,Gold,Food,Female,210654,2014,1
1421,"Ahmedabad, India",2013-11-06,Platinum,Food,Female,15933,2013,11
1422,"Ahmedabad, India",2014-11-19,Gold,Food,Female,7528,2014,11
1423,"Greater Mumbai, India",2015-05-01,Platinum,Food,Female,199240,2015,5
1424,"Delhi, India",2014-10-03,Silver,Food,Female,161437,2014,10
1425,"Ahmedabad, India",2014-06-29,Signature,Food,Female,5100,2014,6
1426,"Greater Mumbai, India",2013-11-08,Gold,Food,Female,56532,2013,11
1427,"Ahmedabad, India",2014-09-06,Silver,Food,Female,94074,2014,9
1428,"Greater Mumbai, India",2013-12-06,Signature,Food,Female,168912,2013,12
1429,"Greater Mumbai, India",2015-04-20,Platinum,Food,Female,126623,2015,4
1430,"Ahmedabad, India",2014-02-08,Silver,Food,Female,39986,2014,2
1431,"Ahmedabad, India",2014-04-20,Platinum,Food,Female,99355,2014,4
1432,"Bengaluru, India",2013-10-23,Platinum,Food,Female,298243,2013,10
1433,"Delhi, India",2015-03-10,Platinum,Food,Female,124069,2015,3
1434,"Delhi, India",2014-01-21,Signature,Food,Female,144126,2014,1
1435,"Delhi, India",2014-03-09,Signature,Food,Female,270539,2014,3
1436,"Greater Mumbai, India",2015-05-25,Gold,Food,Female,134904,2015,5
1437,"Ahmedabad, India",2014-08-03,Gold,Food,Female,196856,2014,8
1438,"Bengaluru, India",2014-03-09,Platinum,Food,Female,286346,2014,3
1439,"Greater Mumbai, India",2013-12-23,Gold,Food,Male,260246,2013,12
1440,"Bengaluru, India",2015-05-23,Platinum,Food,Female,43454,2015,5
1441,"Greater Mumbai, India",2014-07-22,Signature,Food,Male,155937,2014,7
1442,"Delhi, India",2015-01-18,Silver,Food,Female,243051,2015,1
1443,"Ahmedabad, India",2014-05-01,Platinum,Food,Male,61531,2014,5
1444,"Bengaluru, India",2014-01-09,Silver,Food,Female,293821,2014,1
1445,"Ahmedabad, India",2014-04-17,Signature,Food,Female,217077,2014,4
1446,"Greater Mumbai, India",2015-05-05,Signature,Food,Female,1448,2015,5
1447,"Bengaluru, India",2014-12-09,Gold,Food,Male,46535,2014,12
1448,"Ahmedabad, India",2014-09-08,Gold,Food,Male,120827,2014,9
1449,"Ahmedabad, India",2014-01-20,Gold,Food,Male,194872,2014,1
1450,"Bengaluru, India",2014-04-22,Platinum,Food,Male,282158,2014,4
1451,"Greater Mumbai, India",2015-03-06,Platinum,Food,Female,10561,2015,3
1452,"Ahmedabad, India",2014-07-18,Platinum,Food,Female,167731,2014,7
1453,"Greater Mumbai, India",2014-02-27,Silver,Food,Female,285278,2014,2
1454,"Greater Mumbai, India",2014-08-16,Platinum,Food,Male,120872,2014,8
1455,"Delhi, India",2014-11-19,Platinum,Food,Female,230248,2014,11
1456,"Bengaluru, India",2014-05-30,Platinum,Food,Male,178023,2014,5
1457,"Delhi, India",2014-12-25,Platinum,Food,Male,190596,2014,12
1458,"Greater Mumbai, India",2014-11-12,Silver,Food,Female,28393,2014,11
1459,"Delhi, India",2013-11-30,Gold,Food,Male,12912,2013,11
1460,"Greater Mumbai, India",2015-05-22,Silver,Food,Female,198735,2015,5
1461,"Bengaluru, India",2014-07-09,Gold,Food,Male,204192,2014,7
1462,"Delhi, India",2014-03-02,Gold,Food,Female,134861,2014,3
1463,"Bengaluru, India",2015-04-04,Gold,Food,Female,35948,2015,4
1464,"Greater Mumbai, India",2013-10-16,Platinum,Food,Male,147588,2013,10
1465,"Delhi, India",2015-02-15,Platinum,Food,Female,296617,2015,2
1466,"Delhi, India",2015-04-19,Platinum,Food,Male,117543,2015,4
1467,"Delhi, India",2015-04-15,Signature,Food,Male,200079,2015,4
1468,"Greater Mumbai, India",2014-03-07,Signature,Food,Male,254660,2014,3
1469,"Delhi, India",2014-08-11,Platinum,Food,Male,217111,2014,8
1470,"Delhi, India",2014-01-14,Signature,Food,Male,55986,2014,1
1471,"Ahmedabad, India",2014-11-02,Silver,Food,Female,105550,2014,11
1472,"Greater Mumbai, India",2014-10-29,Gold,Food,Female,218728,2014,10
1473,"Bengaluru, India",2014-03-09,Silver,Food,Male,26914,2014,3
1474,"Greater Mumbai, India",2014-11-05,Platinum,Food,Male,257242,2014,11
1475,"Bengaluru, India",2014-01-26,Platinum,Food,Female,150126,2014,1
1476,"Bengaluru, India",2014-09-22,Silver,Food,Female,113220,2014,9
1477,"Ahmedabad, India",2015-04-21,Silver,Food,Male,181913,2015,4
1478,"Bengaluru, India",2014-06-27,Platinum,Food,Male,191433,2014,6
1479,"Delhi, India",2013-10-31,Signature,Food,Male,61684,2013,10
1480,"Bengaluru, India",2014-03-02,Platinum,Food,Male,259073,2014,3
1481,"Greater Mumbai, India",2014-11-15,Gold,Food,Male,160077,2014,11
1482,"Bengaluru, India",2014-12-18,Silver,Food,Male,17774,2014,12
1483,"Bengaluru, India",2015-02-14,Signature,Food,Male,138345,2015,2
1484,"Delhi, India",2013-11-22,Silver,Food,Female,129695,2013,11
1485,"Greater Mumbai, India",2015-04-14,Signature,Food,Male,275861,2015,4
1486,"Greater Mumbai, India",2014-12-04,Gold,Food,Female,77327,2014,12
1487,"Bengaluru, India",2013-12-02,Platinum,Food,Female,108132,2013,12
1488,"Greater Mumbai, India",2015-01-28,Platinum,Food,Male,129565,2015,1
1489,"Ahmedabad, India",2015-03-27,Platinum,Food,Male,141292,2015,3
1490,"Ahmedabad, India",2014-01-09,Gold,Food,Male,224328,2014,1
1491,"Bengaluru, India",2015-05-26,Platinum,Food,Male,223595,2015,5
1492,"Bengaluru, India",2014-08-14,Platinum,Food,Male,171954,2014,8
1493,"Ahmedabad, India",2015-02-19,Silver,Food,Male,112840,2015,2
1494,"Ahmedabad, India",2015-02-20,Silver,Food,Female,81284,2015,2
1495,"Bengaluru, India",2013-12-02,Silver,Food,Male,206702,2013,12
1496,"Delhi, India",2014-08-28,Signature,Food,Male,267378,2014,8
1497,"Greater Mumbai, India",2014-04-11,Platinum,Food,Male,225187,2014,4
1498,"Delhi, India",2014-11-19,Platinum,Food,Female,286760,2014,11
1499,"Ahmedabad, India",2013-10-30,Signature,Food,Female,156754,2013,10
1500,"Greater Mumbai, India",2015-01-22,Signature,Food,Male,291525,2015,1
1501,"Ahmedabad, India",2014-05-06,Signature,Food,Female,32787,2014,5
1502,"Bengaluru, India",2013-10-31,Signature,Food,Female,157079,2013,10
1503,"Bengaluru, India",2015-03-09,Silver,Food,Male,292012,2015,3
1504,"Greater Mumbai, India",2015-03-12,Platinum,Food,Male,221959,2015,3
1505,"Delhi, India",2013-12-22,Gold,Food,Female,44684,2013,12
1506,"Ahmedabad, India",2013-11-01,Signature,Food,Female,46798,2013,11
1507,"Greater Mumbai, India",2014-05-10,Platinum,Food,Male,291612,2014,5
1508,"Ahmedabad, India",2014-05-10,Platinum,Food,Female,27562,2014,5
1509,"Delhi, India",2015-02-20,Signature,Food,Male,269997,2015,2
1510,"Greater Mumbai, India",2013-12-30,Signature,Food,Female,208894,2013,12
1511,"Ahmedabad, India",2015-04-05,Gold,Food,Female,170152,2015,4
1512,"Greater Mumbai, India",2013-11-02,Gold,Food,Male,225966,2013,11
1513,"Delhi, India",2014-02-13,Silver,Food,Male,229833,2014,2
1514,"Bengaluru, India",2014-08-03,Gold,Food,Female,28243,2014,8
1515,"Delhi, India",2015-04-16,Silver,Food,Female,242728,2015,4
1516,"Ahmedabad, India",2015-05-13,Platinum,Food,Female,116446,2015,5
1517,"Greater Mumbai, India",2014-01-02,Signature,Food,Male,13705,2014,1
1518,"Greater Mumbai, India",2014-08-20,Platinum,Food,Female,45763,2014,8
1519,"Ahmedabad, India",2014-03-31,Platinum,Food,Female,287078,2014,3
1520,"Delhi, India",2014-04-09,Silver,Food,Male,41778,2014,4
1521,"Delhi, India",2013-10-04,Gold,Food,Male,281924,2013,10
1522,"Greater Mumbai, India",2013-10-22,Silver,Food,Female,234204,2013,10
1523,"Bengaluru, India",2014-01-28,Gold,Food,Male,193947,2014,1
1524,"Greater Mumbai, India",2015-01-15,Silver,Food,Male,82828,2015,1
1525,"Ahmedabad, India",2014-12-21,Signature,Food,Female,35850,2014,12
1526,"Bengaluru, India",2013-12-19,Platinum,Food,Female,179096,2013,12
1527,"Bengaluru, India",2014-07-06,Silver,Food,Female,158016,2014,7
1528,"Ahmedabad, India",2014-08-05,Gold,Food,Female,238194,2014,8
1529,"Ahmedabad, India",2014-05-27,Silver,Food,Female,179401,2014,5
1530,"Ahmedabad, India",2014-03-06,Platinum,Food,Female,176516,2014,3
1531,"Greater Mumbai, India",2014-07-12,Gold,Food,Female,225027,2014,7
1532,"Delhi, India",2014-10-04,Signature,Food,Male,186065,2014,10
1533,"Bengaluru, India",2015-01-24,Signature,Food,Female,288201,2015,1
1534,"Ahmedabad, India",2013-11-11,Gold,Food,Male,53169,2013,11
1535,"Delhi, India",2014-07-08,Platinum,Food,Male,225523,2014,7
1536,"Greater Mumbai, India",2015-01-11,Gold,Food,Male,124637,2015,1
1537,"Greater Mumbai, India",2013-12-11,Silver,Food,Female,14641,2013,12
1538,"Bengaluru, India",2014-03-26,Signature,Food,Female,235782,2014,3
1539,"Ahmedabad, India",2013-11-20,Gold,Food,Male,292270,2013,11
1540,"Ahmedabad, India",2015-01-17,Silver,Food,Male,236351,2015,1
1541,"Ahmedabad, India",2014-06-20,Silver,Food,Female,53360,2014,6
1542,"Bengaluru, India",2014-04-09,Signature,Food,Male,256852,2014,4
1543,"Bengaluru, India",2014-11-02,Silver,Food,Female,285360,2014,11
1544,"Bengaluru, India",2014-05-06,Platinum,Food,Female,74602,2014,5
1545,"Delhi, India",2013-11-12,Gold,Food,Female,274032,2013,11
1546,"Delhi, India",2015-02-20,Silver,Food,Male,298953,2015,2
1547,"Delhi, India",2014-01-26,Signature,Food,Female,226180,2014,1
1548,"Delhi, India",2013-11-28,Silver,Food,Male,149045,2013,11
1549,"Delhi, India",2014-12-17,Platinum,Food,Male,258878,2014,12
1550,"Ahmedabad, India",2015-01-31,Signature,Food,Female,76493,2015,1
1551,"Ahmedabad, India",2014-11-08,Signature,Food,Male,141574,2014,11
1552,"Delhi, India",2014-03-17,Platinum,Food,Male,222219,2014,3
1553,"Delhi, India",2013-10-14,Silver,Food,Female,237812,2013,10
1554,"Bengaluru, India",2013-12-23,Gold,Food,Male,44203,2013,12
1555,"Delhi, India",2014-12-27,Gold,Food,Male,232402,2014,12
1556,"Delhi, India",2014-05-22,Platinum,Food,Female,82849,2014,5
1557,"Delhi, India",2015-01-07,Silver,Food,Female,257716,2015,1
1558,"Delhi, India",2013-11-05,Signature,Food,Female,272060,2013,11
1559,"Bengaluru, India",2014-07-17,Signature,Food,Male,160400,2014,7
1560,"Bengaluru, India",2014-10-08,Platinum,Food,Male,193063,2014,10
1561,"Ahmedabad, India",2015-03-29,Gold,Food,Female,56294,2015,3
1562,"Delhi, India",2015-05-18,Platinum,Food,Female,120532,2015,5
1563,"Delhi, India",2014-06-29,Platinum,Food,Male,200031,2014,6
1564,"Ahmedabad, India",2013-10-15,Platinum,Food,Male,53028,2013,10
1565,"Greater Mumbai, India",2014-12-21,Signature,Food,Male,131428,2014,12
1566,"Greater Mumbai, India",2014-08-04,Platinum,Food,Male,93654,2014,8
1567,"Greater Mumbai, India",2014-01-15,Silver,Food,Female,240746,2014,1
1568,"Delhi, India",2014-07-02,Platinum,Food,Male,115547,2014,7
1569,"Bengaluru, India",2014-10-07,Signature,Food,Male,203143,2014,10
1570,"Bengaluru, India",2014-05-26,Platinum,Food,Male,3445,2014,5
1571,"Ahmedabad, India",2013-10-15,Signature,Food,Male,107217,2013,10
1572,"Bengaluru, India",2015-02-15,Gold,Food,Female,286893,2015,2
1573,"Greater Mumbai, India",2013-12-27,Gold,Food,Female,76763,2013,12
1574,"Greater Mumbai, India",2014-11-15,Platinum,Food,Female,204583,2014,11
1575,"Greater Mumbai, India",2014-11-15,Signature,Food,Female,92565,2014,11
1576,"Delhi, India",2013-10-13,Silver,Food,Female,216522,2013,10
1577,"Delhi, India",2014-05-29,Platinum,Food,Female,108852,2014,5
1578,"Delhi, India",2013-11-04,Gold,Food,Female,14332,2013,11
1579,"Ahmedabad, India",2014-10-19,Silver,Food,Male,31682,2014,10
1580,"Greater Mumbai, India",2014-07-03,Signature,Food,Female,89259,2014,7
1581,"Greater Mumbai, India",2015-04-16,Platinum,Food,Male,84571,2015,4
1582,"Bengaluru, India",2015-02-24,Signature,Food,Male,86536,2015,2
1583,"Bengaluru, India",2015-04-22,Platinum,Food,Female,203517,2015,4
1584,"Ahmedabad, India",2014-06-13,Platinum,Food,Male,107962,2014,6
1585,"Delhi, India",2014-02-04,Signature,Food,Male,155282,2014,2
1586,"Greater Mumbai, India",2014-05-25,Gold,Food,Female,182306,2014,5
1587,"Greater Mumbai, India",2014-04-06,Silver,Food,Male,215423,2014,4
1588,"Ahmedabad, India",2013-10-12,Signature,Food,Male,123647,2013,10
1589,"Bengaluru, India",2015-05-16,Silver,Food,Male,241280,2015,5
1590,"Ahmedabad, India",2014-03-06,Gold,Entertainment,Female,97671,2014,3
1591,"Ahmedabad, India",2014-01-15,Silver,Grocery,Male,257180,2014,1
1592,"Ahmedabad, India",2014-09-23,Platinum,Entertainment,Female,52337,2014,9
1593,"Bengaluru, India",2014-05-21,Signature,Bills,Male,180255,2014,5
1594,"Bengaluru, India",2014-07-09,Gold,Bills,Female,239046,2014,7
1595,"Ahmedabad, India",2015-05-13,Silver,Food,Female,92602,2015,5
1596,"Delhi, India",2014-03-11,Platinum,Grocery,Female,140717,2014,3
1597,"Ahmedabad, India",2014-02-26,Signature,Grocery,Male,244560,2014,2
1598,"Greater Mumbai, India",2015-03-17,Signature,Fuel,Male,56280,2015,3
1599,"Greater Mumbai, India",2014-07-09,Gold,Grocery,Female,107671,2014,7
1600,"Delhi, India",2015-03-17,Silver,Grocery,Female,243760,2015,3
1601,"Delhi, India",2015-01-20,Signature,Grocery,Female,195153,2015,1
1602,"Bengaluru, India",2014-12-30,Signature,Fuel,Female,76172,2014,12
1603,"Ahmedabad, India",2014-01-05,Platinum,Fuel,Female,88952,2014,1
1604,"Delhi, India",2013-11-18,Gold,Fuel,Female,248133,2013,11
1605,"Bengaluru, India",2014-09-01,Platinum,Food,Male,167325,2014,9
1606,"Delhi, India",2013-11-07,Silver,Food,Male,277090,2013,11
1607,"Greater Mumbai, India",2014-09-18,Silver,Fuel,Male,297113,2014,9
1608,"Ahmedabad, India",2014-08-24,Silver,Grocery,Female,171827,2014,8
1609,"Ahmedabad, India",2014-06-16,Signature,Entertainment,Male,237922,2014,6
1610,"Ahmedabad, India",2014-04-14,Platinum,Bills,Female,4607,2014,4
1611,"Delhi, India",2013-10-25,Silver,Grocery,Male,38793,2013,10
1612,"Delhi, India",2013-10-04,Gold,Grocery,Male,125616,2013,10
1613,"Ahmedabad, India",2014-10-30,Gold,Grocery,Female,263920,2014,10
1614,"Greater Mumbai, India",2014-11-10,Platinum,Bills,Female,53692,2014,11
1615,"Bengaluru, India",2014-09-05,Signature,Entertainment,Female,279334,2014,9
1616,"Delhi, India",2014-08-11,Signature,Fuel,Female,74223,2014,8
1617,"Ahmedabad, India",2013-10-14,Signature,Grocery,Male,254257,2013,10
1618,"Greater Mumbai, India",2015-01-05,Silver,Fuel,Male,82669,2015,1
1619,"Ahmedabad, India",2014-07-19,Platinum,Entertainment,Female,4802,2014,7
1620,"Ahmedabad, India",2014-03-02,Signature,Grocery,Female,92868,2014,3
1621,"Greater Mumbai, India",2014-08-04,Silver,Food,Female,246960,2014,8
1622,"Ahmedabad, India",2015-02-05,Gold,Entertainment,Male,234132,2015,2
1623,"Delhi, India",2013-12-18,Signature,Grocery,Female,108361,2013,12
1624,"Greater Mumbai, India",2014-11-11,Platinum,Entertainment,Male,193648,2014,11
1625,"Delhi, India",2014-10-24,Signature,Food,Female,252615,2014,10
